id,MW,HBA,HBD,RotB,LogP,TPSA,GBSA,docking score
1,380.4,9,3,8,2.79,134.6,-51.2571196212348,-9.00502913257452
2,451.5,6,1,6,4.58,76.1,-61.812608088705,-9.00091090776478
3,324.3,4,0,4,4.66,52.6,-38.4486192359227,-8.9407303376584
4,313.3,4,1,6,3.27,53.7,-34.3771220020008,-8.89776378701706
5,445.9,4,1,6,5.23,57.6,-49.3960577948574,-8.88843604868913
6,393.4,5,1,6,4.03,66.1,-40.7066498133472,-8.71723581016915
7,295.3,4,1,6,3.13,53.7,-40.1687106009276,-8.70610926730717
8,308.4,4,1,6,2.96,47.3,-48.7467450182767,-8.65639320753872
9,290.3,3,1,3,3.78,46.5,-46.0017894748225,-8.64690696128914
10,286.3,4,1,6,2.62,47.3,-43.5910565527774,-8.6323006702467
11,380.4,9,3,8,2.79,134.6,-49.6620351349875,-8.62708730398163
12,460.5,9,2,8,2.59,122.4,-51.71408274446,-8.57841319147908
13,439.4,5,2,4,3.06,83.9,-46.9702033966305,-8.57322607971416
14,394.4,8,3,7,1.11,119.2,-41.6744842266316,-8.56029832256879
15,350.4,7,0,2,2.64,69.5,-52.6605741487319,-8.53113242766957
16,322.4,6,2,6,1.27,84.5,-50.5941892283363,-8.47126360789862
17,380.4,9,3,8,2.79,134.6,-54.4747256026667,-8.45112206739971
18,456.5,8,2,11,2.04,109.3,-48.6547775651652,-8.4288384145073
19,300.4,3,3,3,3.97,55.1,-45.7625222090073,-8.40582011459039
20,402.5,9,3,9,0.8,116.8,-57.1395115068408,-8.36904195234768
21,322.3,7,3,7,0.31,109.4,-39.8341628453454,-8.34716414968738
22,380.4,9,3,8,2.79,134.6,-51.8620453978092,-8.33538056816247
23,346.3,5,1,4,3.31,59.8,-45.0685518027522,-8.32538227912247
24,338.2,4,1,2,3.26,55.4,-38.7621918700688,-8.32158488734282
25,375.5,5,2,11,1.51,45.7,-64.1541427823267,-8.29100203459284
26,441.5,6,1,9,5.26,76.1,-54.1075448746105,-8.28706168116693
27,441.9,4,1,6,5.5,57.6,-59.0162598136922,-8.28349727091003
28,374.4,6,0,3,3.78,74.3,-51.1134707171477,-8.26036956835485
29,395.5,4,2,10,4.53,66.4,-54.7418546392455,-8.24864259865734
30,426.4,9,3,11,1.77,116.8,-52.1931072670259,-8.24230196530824
31,370.5,5,1,10,3.89,62.1,-37.8717975665113,-8.23571151370076
32,356.4,8,2,7,0.49,116.7,-50.4728729160615,-8.21010070962977
33,340.2,5,1,3,1.8,66.8,-49.4684565725993,-8.20318940325465
34,381.4,4,2,9,4.22,66.4,-55.9398470110436,-8.20113879144593
35,377.4,7,0,4,2.59,63.0,-47.1432210361199,-8.19966463804537
36,381.4,4,2,9,4.22,66.4,-58.5453601642885,-8.18578709236509
37,254.3,4,2,4,2.69,54.3,-40.8747010779298,-8.1802088729676
38,336.8,5,0,6,3.27,65.7,-50.0302557020896,-8.17649945058162
39,388.5,7,1,10,3.04,84.4,-58.0069774747471,-8.17157434334106
40,486.5,5,1,6,5.98,58.6,-61.7191700493795,-8.16859803700574
41,363.3,7,0,3,2.1,63.0,-46.4315100786498,-8.14446208024991
42,311.4,4,2,10,1.71,50.7,-50.9184101418123,-8.13985210640039
43,435.6,6,2,12,2.15,55.0,-65.7408085117186,-8.13798808660922
44,407.3,10,2,3,0.05,129.3,-47.132350361333,-8.13516819818979
45,347.3,5,0,4,3.74,57.0,-44.5480817275084,-8.13079508651641
46,393.4,7,1,5,2.54,112.3,-48.5475839532719,-8.11990664650756
47,412.4,9,3,10,0.98,116.8,-54.8608510180957,-8.11176958567277
48,309.4,4,1,2,3.65,55.4,-42.8880135329355,-8.10267066287357
49,453.6,6,1,10,3.22,89.5,-55.3290086695224,-8.09596573295359
50,432.6,7,1,7,2.7,84.3,-36.0863275270149,-8.0936092948899
51,409.5,4,0,3,5.75,38.1,-48.3996923009145,-8.08246127741393
52,300.3,5,0,3,2.6,71.6,-48.5385907845075,-8.08086046054682
53,308.4,3,0,3,4.8,39.4,-60.1491084003746,-8.07865793754925
54,326.4,5,1,7,3.39,59.8,-40.9861486799509,-8.06754028106269
55,380.3,5,0,5,3.92,61.8,-45.2610728940199,-8.04913987396364
56,447.5,7,1,10,4.24,84.5,-51.5029760807365,-8.04466339114672
57,378.4,7,0,9,3.78,82.5,-48.6870727946762,-8.04222528649339
58,311.3,6,1,1,1.37,95.9,-28.2212960736706,-8.03845027211393
59,325.3,6,1,4,2.83,80.6,-39.876002338905,-8.03834834826939
60,286.3,4,1,6,2.62,47.3,-48.6278789977423,-8.03791486026155
61,435.5,8,2,9,2.61,102.0,-47.8429327159356,-8.03672365411275
62,305.3,4,0,3,4.13,51.8,-41.2399391419103,-8.0358414730972
63,405.4,7,1,6,2.19,81.8,-52.2349340569481,-8.03310398403321
64,372.4,7,3,8,2.41,111.6,-42.4349505475666,-8.02837683959139
65,344.4,6,1,7,3.02,75.2,-52.3563541925523,-8.00508707159355
66,382.4,7,2,8,3.91,93.2,-59.2720706846603,-8.00044981757939
67,361.8,8,2,7,1.19,102.0,-40.7620409607707,-7.99887378689746
68,348.9,3,0,7,5.43,35.5,-51.0840910181723,-7.99856531651904
69,290.3,5,0,1,2.83,65.1,-43.6598103121632,-7.99432011624798
70,373.4,8,1,9,0.93,91.0,-47.3140827374718,-7.98528293975609
71,336.8,5,0,6,3.27,65.7,-51.0802723294846,-7.98069144907686
72,393.3,6,0,6,5.38,82.6,-54.2358041223952,-7.97944630197351
